SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
2.25,7.5,3.33,141,34,107,0,24.1,0.101,14.25,7.5,-2.25,0.101,1.06,-79.5,0.18
2.25,8.0,3.56,141,30,111,0,21.3,-0.069,-9.75,8.0,-2.25,-0.069,0.96,-78.5,-0.12
2.25,8.5,3.78,141,28,113,0,19.9,-0.115,-16.25,8.5,-2.25,-0.115,0.94,-94.0,-0.17
2.25,9.0,4.0,141,25,116,0,17.7,-0.255,-36.0,9.0,-2.25,-0.255,0.86,-112.5,-0.32
2.25,9.5,4.22,141,25,116,0,17.7,-0.167,-23.5,9.5,-2.25,-0.167,0.91,-109.5,-0.21
2.25,10.0,4.44,141,24,117,0,17.0,-0.165,-23.25,10.0,-2.25,-0.165,0.91,-118.75,-0.2
2.25,10.5,4.67,141,22,119,0,15.6,-0.261,-36.75,10.5,-2.25,-0.261,0.86,-117.0,-0.31
2.25,11.0,4.89,141,21,120,0,14.9,-0.277,-39.0,11.0,-2.25,-0.277,0.86,-115.5,-0.34
2.25,11.5,5.11,141,20,121,0,14.2,-0.3,-42.25,11.5,-2.25,-0.3,0.84,-125.0,-0.34
2.25,12.0,5.33,141,19,122,0,13.5,-0.33,-46.5,12.0,-2.25,-0.33,0.83,-137.25,-0.34
2.25,12.5,5.56,141,18,123,0,12.8,-0.367,-51.75,12.5,-2.25,-0.367,0.81,-150.5,-0.34
2.25,13.0,5.78,141,18,123,0,12.8,-0.303,-42.75,13.0,-2.25,-0.303,0.85,-149.5,-0.29
2.25,13.5,6.0,141,18,123,0,12.8,-0.239,-33.75,13.5,-2.25,-0.239,0.88,-148.5,-0.23
2.25,14.0,6.22,141,18,123,0,12.8,-0.176,-24.75,14.0,-2.25,-0.176,0.91,-147.5,-0.17
2.25,14.5,6.44,141,18,123,0,12.8,-0.112,-15.75,14.5,-2.25,-0.112,0.94,-146.5,-0.11
2.25,15.0,6.67,141,17,124,0,12.1,-0.17,-24.0,15.0,-2.25,-0.17,0.91,-162.75,-0.15
2.5,3.0,1.2,141,69,72,0,48.9,0.191,27.0,3.0,-2.5,0.191,1.15,-57.5,0.47
2.5,3.5,1.4,141,65,76,0,46.1,0.266,37.5,3.5,-2.5,0.266,1.2,-55.0,0.68
2.5,4.0,1.6,141,61,80,0,43.3,0.312,44.0,4.0,-2.5,0.312,1.22,-54.5,0.81
