SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
2.0,14.0,7.0,128,0,119,9,0.0,-1.72,-220.18,2.82,-1.98,-1.72,0.08,-218.18,-1.01
2.0,14.5,7.25,128,0,119,9,0.0,-1.72,-220.18,2.82,-1.98,-1.72,0.08,-218.18,-1.01
2.0,15.0,7.5,128,0,119,9,0.0,-1.72,-220.18,2.82,-1.98,-1.72,0.08,-218.18,-1.01
2.25,2.5,1.11,128,29,97,2,23.0,-1.146,-146.68,2.42,-2.24,-1.146,0.33,-144.43,-1.02
2.25,3.0,1.33,128,29,97,2,23.0,-1.033,-132.18,2.9,-2.24,-1.033,0.4,-129.93,-1.02
2.25,3.5,1.56,128,27,99,2,21.4,-1.009,-129.18,3.38,-2.24,-1.009,0.42,-126.93,-1.02
2.25,4.0,1.78,128,27,99,2,21.4,-0.904,-115.68,3.86,-2.24,-0.904,0.48,-113.43,-1.02
2.25,4.5,2.0,128,25,100,3,20.0,-0.873,-111.7,4.23,-2.24,-0.873,0.51,-109.45,-1.02
2.25,5.0,2.22,128,23,102,3,18.4,-0.888,-113.7,4.67,-2.24,-0.888,0.51,-111.45,-1.02
2.25,5.5,2.44,128,20,105,3,16.0,-0.98,-125.45,5.08,-2.24,-0.98,0.47,-123.2,-1.02
2.25,6.0,2.67,128,14,111,3,11.2,-1.289,-164.95,5.36,-2.24,-1.289,0.34,-162.7,-1.01
2.25,6.5,2.89,128,14,111,3,11.2,-1.234,-157.95,5.8,-2.24,-1.234,0.37,-155.7,-1.01
2.25,7.0,3.11,128,12,112,4,9.7,-1.292,-165.4,5.84,-2.24,-1.292,0.35,-163.15,-1.01
2.25,7.5,3.33,128,11,112,5,8.9,-1.288,-164.9,5.87,-2.24,-1.288,0.35,-162.65,-1.01
2.25,8.0,3.56,128,9,114,5,7.3,-1.405,-179.9,5.97,-2.24,-1.405,0.3,-177.65,-1.01
2.25,8.5,3.78,128,8,114,6,6.6,-1.444,-184.83,6.13,-2.23,-1.444,0.28,-182.58,-1.01
2.25,9.0,4.0,128,8,114,6,6.6,-1.413,-180.83,6.47,-2.23,-1.413,0.3,-178.58,-1.01
2.25,9.5,4.22,128,8,114,6,6.6,-1.381,-176.83,6.8,-2.23,-1.381,0.32,-174.58,-1.01
2.25,10.0,4.44,128,6,116,6,4.9,-1.542,-197.33,6.56,-2.23,-1.542,0.25,-195.08,-1.01
2.25,10.5,4.67,128,2,117,9,1.7,-1.691,-216.47,5.41,-2.23,-1.691,0.18,-214.22,-1.01
2.25,11.0,4.89,128,2,117,9,1.7,-1.683,-215.47,5.52,-2.23,-1.683,0.19,-213.22,-1.01
2.25,11.5,5.11,128,2,117,9,1.7,-1.676,-214.47,5.63,-2.23,-1.676,0.19,-212.22,-1.01
2.25,12.0,5.33,128,2,117,9,1.7,-1.668,-213.47,5.74,-2.23,-1.668,0.19,-211.22,-1.01
2.25,12.5,5.56,128,2,117,9,1.7,-1.66,-212.47,5.86,-2.23,-1.66,0.2,-210.22,-1.01
2.25,13.0,5.78,128,2,117,9,1.7,-1.652,-211.47,5.97,-2.23,-1.652,0.2,-209.22,-1.01
