Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,1.75,13.0,7.43,559,26,523,10,4.7,-1.022,-571.05,11.17,-1.74,-1.028,0.38,-682.55,-0.84
All touches,1.75,13.5,7.71,559,26,523,10,4.7,-0.998,-558.05,11.59,-1.74,-1.005,0.39,-675.05,-0.83
All touches,1.75,14.0,8.0,559,24,523,12,4.4,-1.013,-566.32,11.32,-1.74,-1.019,0.38,-688.82,-0.82
All touches,1.75,14.5,8.29,559,24,523,12,4.4,-0.992,-554.32,11.71,-1.74,-0.998,0.4,-682.32,-0.81
All touches,1.75,15.0,8.57,559,23,524,12,4.2,-1.0,-559.07,12.0,-1.74,-1.006,0.39,-693.07,-0.81
All touches,2.0,2.5,1.25,559,194,361,4,35.0,-0.426,-237.93,2.49,-2.0,-0.433,0.67,-272.0,-0.87
All touches,2.0,3.0,1.5,559,171,384,4,30.8,-0.458,-255.93,2.98,-2.0,-0.465,0.67,-284.0,-0.9
All touches,2.0,3.5,1.75,559,155,400,4,27.9,-0.462,-258.43,3.48,-2.0,-0.469,0.68,-296.0,-0.87
All touches,2.0,4.0,2.0,559,146,409,4,26.3,-0.42,-234.93,3.97,-2.0,-0.427,0.71,-272.0,-0.86
All touches,2.0,4.5,2.25,559,135,419,5,24.4,-0.411,-229.7,4.45,-2.0,-0.418,0.73,-298.5,-0.77
All touches,2.0,5.0,2.5,559,121,433,5,21.8,-0.465,-260.2,4.93,-2.0,-0.473,0.7,-319.0,-0.82
All touches,2.0,5.5,2.75,559,103,450,6,18.6,-0.591,-330.14,5.39,-2.0,-0.598,0.63,-369.64,-0.89
All touches,2.0,6.0,3.0,559,90,463,6,16.3,-0.685,-382.64,5.85,-2.0,-0.692,0.59,-428.64,-0.89
All touches,2.0,6.5,3.25,559,82,471,6,14.8,-0.726,-405.64,6.32,-2.0,-0.733,0.57,-458.14,-0.89
All touches,2.0,7.0,3.5,559,75,477,7,13.6,-0.758,-423.84,6.72,-2.0,-0.765,0.56,-482.84,-0.88
All touches,2.0,7.5,3.75,559,74,477,8,13.4,-0.701,-391.84,7.13,-2.0,-0.708,0.59,-462.34,-0.85
